광고그룹ID,제목,설명,PC URL,모바일 URL,의료광고 심의필 번호,결과
grp-a001-01-000000072767911,서울과기대 면접 가이드북,"서울과기대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/seoultech.html,https://hyunhak.com/guidebook/seoultech.html,,성공,
grp-a001-01-000000072767911,서울과기대 면접 기출,"13년차 대치동 컨설턴트 정리, 서울과기대 면접 기출과 전략, 33,000원",https://hyunhak.com/guidebook/seoultech.html,https://hyunhak.com/guidebook/seoultech.html,,성공,
grp-a001-01-000000072767915,서울대 면접 가이드북,"서울대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,,성공,
grp-a001-01-000000072767915,서울대 지역균형 면접,"13년차 대치동 컨설턴트가 정리한 서울대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,,성공,
grp-a001-01-000000072767919,숙명여대 면접 가이드북,"숙명여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/sookmyung.html,https://hyunhak.com/guidebook/sookmyung.html,,성공,
grp-a001-01-000000072767919,숙명여대 면접 기출,"13년차 대치동 컨설턴트가 정리한 숙명여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/sookmyung.html,https://hyunhak.com/guidebook/sookmyung.html,,성공,
grp-a001-01-000000072767925,숭실대 면접 가이드북,"숭실대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/soongsil.html,https://hyunhak.com/guidebook/soongsil.html,,성공,
grp-a001-01-000000072767925,숭실대 면접 기출,"13년차 대치동 컨설턴트가 정리한 숭실대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/soongsil.html,https://hyunhak.com/guidebook/soongsil.html,,성공,
grp-a001-01-000000072767929,성신여대 면접 가이드북,"성신여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/sungshin.html,https://hyunhak.com/guidebook/sungshin.html,,성공,
grp-a001-01-000000072767929,성신여대 자기주도인재 면접,"13년차 대치동 컨설턴트가 정리한 성신여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/sungshin.html,https://hyunhak.com/guidebook/sungshin.html,,성공,
grp-a001-01-000000072767984,서울시립대 면접 가이드북,"서울시립대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/uos.html,https://hyunhak.com/guidebook/uos.html,,성공,
grp-a001-01-000000072767984,서울시립대 면접 기출,"13년차 대치동 컨설턴트 정리, 서울시립대 면접 기출과 전략, 33,000원",https://hyunhak.com/guidebook/uos.html,https://hyunhak.com/guidebook/uos.html,,성공,
grp-a001-01-000000072767993,연세대 제시문 면접 스튜디오,"연세대 제시문 면접 기출 세트로 촬영 응시와 세 단 첨삭, 지문 30편",https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,,성공,
grp-a001-01-000000072767993,연세대 활동우수형 면접,"실전 규격 응시와 첨삭, 연세대 면접 스튜디오, 13년차 컨설턴트 설계",https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,,성공,
grp-a001-01-000000072767592,단국대 면접 가이드북,"단국대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/dankook.html,https://hyunhak.com/guidebook/dankook.html,,성공,
grp-a001-01-000000072767592,단국대 면접 기출,"13년차 대치동 컨설턴트가 정리한 단국대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/dankook.html,https://hyunhak.com/guidebook/dankook.html,,성공,
grp-a001-01-000000072767665,덕성여대 면접 가이드북,"덕성여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/duksung.html,https://hyunhak.com/guidebook/duksung.html,,성공,
grp-a001-01-000000072767665,덕성여대 덕성인재전형Ⅱ 면접,"13년차 대치동 컨설턴트가 정리한 덕성여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/duksung.html,https://hyunhak.com/guidebook/duksung.html,,실패,"영어와 한국어, 일부 특수문자만 허용됩니다."
grp-a001-01-000000072767605,동덕여대 면접 가이드북,"동덕여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/dongduk.html,https://hyunhak.com/guidebook/dongduk.html,,성공,
grp-a001-01-000000072767605,동덕여대 동덕창의리더 면접,"13년차 대치동 컨설턴트가 정리한 동덕여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/dongduk.html,https://hyunhak.com/guidebook/dongduk.html,,성공,
grp-a001-01-000000072767600,동아대 면접 가이드북,"동아대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/donga.html,https://hyunhak.com/guidebook/donga.html,,성공,
grp-a001-01-000000072767600,동아대 잠재능력우수자 면접,"13년차 대치동 컨설턴트가 정리한 동아대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/donga.html,https://hyunhak.com/guidebook/donga.html,,성공,
grp-a001-01-000000072767890,삼육대 면접 가이드북,"삼육대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/sahmyook.html,https://hyunhak.com/guidebook/sahmyook.html,,성공,
grp-a001-01-000000072767890,삼육대 세움인재 면접,"13년차 대치동 컨설턴트가 정리한 삼육대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/sahmyook.html,https://hyunhak.com/guidebook/sahmyook.html,,성공,
grp-a001-01-000000072767934,서울여대 면접 가이드북,"서울여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/swu.html,https://hyunhak.com/guidebook/swu.html,,성공,
grp-a001-01-000000072767934,서울여대 바롬인재면접 면접,"13년차 대치동 컨설턴트가 정리한 서울여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/swu.html,https://hyunhak.com/guidebook/swu.html,,성공,
grp-a001-01-000000072767964,울산대 면접 가이드북,"울산대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/ulsan.html,https://hyunhak.com/guidebook/ulsan.html,,성공,
grp-a001-01-000000072767964,울산대 면접 기출,"13년차 대치동 컨설턴트가 정리한 울산대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/ulsan.html,https://hyunhak.com/guidebook/ulsan.html,,성공,
grp-a001-01-000000072767747,인천대 면접 가이드북,"인천대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/incheon.html,https://hyunhak.com/guidebook/incheon.html,,성공,
grp-a001-01-000000072767747,인천대 자기추천 면접,"13년차 대치동 컨설턴트가 정리한 인천대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/incheon.html,https://hyunhak.com/guidebook/incheon.html,,성공,
grp-a001-01-000000072767724,한양대 ERICA 면접 가이,"한양대 ERICA 면접 실제 기출과 생기부 질문 규칙, 열람 33,000원",https://hyunhak.com/guidebook/hanyang-erica.html,https://hyunhak.com/guidebook/hanyang-erica.html,,성공,
grp-a001-01-000000072767724,한양대 ERICA 면접 기출,"13년차 대치동 컨설턴트 정리, 한양대 ERICA 면접 기출과 전략, 33,000",https://hyunhak.com/guidebook/hanyang-erica.html,https://hyunhak.com/guidebook/hanyang-erica.html,,성공,
grp-a001-01-000000072767542,대학별 면접 가이드북,"31개 대학 면접 실제 기출 3,065문과 생기부 질문 규칙, 권당 33,000원",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,,성공,
grp-a001-01-000000072767542,"대입 면접, 대학별 한 권","내 지원 대학 면접만 골라 준비. 기출과 전형별 제원, 13년차 컨설턴트 정리",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,,성공,
grp-a001-01-000000072767553,대학 면접 기출 질문 모음,"선배 후기에서 회수한 실제 면접 질문, 대학별 한 권 33,000원",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,,성공,
grp-a001-01-000000072767553,"면접 예상질문, 생기부에서","생기부 기재를 질문으로 바꾸는 규칙, 대학별 가이드북 2027",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,,성공,
grp-a001-01-000000072767554,면접학원 대신 한 권,"13년차 대치동 입시 컨설턴트의 면접 노하우, 대학별 한 권 33,000원",https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,,성공,
grp-a001-01-000000072767554,대입 면접 컨설팅 자료,수업 없이 혼자 준비하는 대학별 면접 가이드북과 연고대 면접 스튜디오,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,,성공,
grp-a001-01-000000072767557,학종 서류기반 면접 준비,"생기부를 질문으로 바꾸는 규칙과 대학별 실제 기출, 한 권 33,000원",https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,,성공,
grp-a001-01-000000072767557,제시문 면접 스튜디오,"연세대 고려대 제시문 면접 기출 세트로 촬영 응시와 첨삭, 실전 규격",https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,,성공,
grp-a001-01-000000072767558,의대 면접 가이드북 2027,"의예과 면접 기출과 MMI 형태 판정, 대학별 가이드북 33,000원",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,,성공,
grp-a001-01-000000072767558,의대 MMI 면접 준비,"대학별 의예과 면접 제원과 실제 질문, 13년차 대치동 컨설턴트 정리",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,,성공,
