"광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있으며, 입력은 최대 만(10000)개까지 가능합니다.",,,,,
"광고그룹 1개당 등록 가능한 소재는 총 5개 까지 입니다. 이미 광고그룹에 소재가 등록되어 있는 경우, 입력하신 새 소재 일부가 등록되지 않을 수 있습니다.",,,,,
"소재의 연결 URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고, PC/모바일 연결 URL을 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.",,,,,
의료 광고 대상 광고주께서는 심의필번호를 등록하기 전에 ‘의료광고 심의필증’을 서류관리 메뉴를 통해 제출해야 검토가 진행됩니다.,,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,,
광고그룹ID(필수),제목(필수),설명(필수),PC URL(필수),모바일 URL(필수),의료광고 심의필 번호(의료광고인 경우에만 입력하세요. 6~12자)
grp-a001-01-000000072767569,가톨릭대 면접 기출 147문,"실제 기출 147문과 생기부 질문 규칙 59개. 열람 33,000원",https://hyunhak.com/guidebook/catholic.html,https://hyunhak.com/guidebook/catholic.html,
grp-a001-01-000000072767569,가톨릭대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 기출과 생기부 질문 규칙 59개,https://hyunhak.com/guidebook/catholic.html,https://hyunhak.com/guidebook/catholic.html,
grp-a001-01-000000072767582,중앙대 면접 기출 131문,"실제 기출 131문과 생기부 질문 규칙 59개. 열람 33,000원",https://hyunhak.com/guidebook/cau.html,https://hyunhak.com/guidebook/cau.html,
grp-a001-01-000000072767582,중앙대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 CAU탐구형인재 면접 기출과 질문 규칙 59개,https://hyunhak.com/guidebook/cau.html,https://hyunhak.com/guidebook/cau.html,
grp-a001-01-000000072767640,동국대 면접 기출 176문,"실제 기출 176문과 생기부 질문 규칙 59개. 열람 33,000원",https://hyunhak.com/guidebook/dongguk.html,https://hyunhak.com/guidebook/dongguk.html,
grp-a001-01-000000072767640,동국대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 Do Dream 면접 기출과 질문 규칙 59개,https://hyunhak.com/guidebook/dongguk.html,https://hyunhak.com/guidebook/dongguk.html,
grp-a001-01-000000072767669,이화여대 면접 기출 152문,"실제 기출 152문과 생기부 질문 규칙 50개. 열람 33,000원",https://hyunhak.com/guidebook/ewha.html,https://hyunhak.com/guidebook/ewha.html,
grp-a001-01-000000072767669,이화여대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 기출과 생기부 질문 규칙 50개,https://hyunhak.com/guidebook/ewha.html,https://hyunhak.com/guidebook/ewha.html,
grp-a001-01-000000072767705,가천대 면접 기출 142문,"실제 기출 142문과 생기부 질문 규칙 54개. 열람 33,000원",https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,
grp-a001-01-000000072767705,가천대 면접 내 질문부터,"가천바람개비 면접 대비, 생기부 질문 규칙 54개. 13년차 대치동 컨설턴트 편집",https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,
grp-a001-01-000000072767728,한국외대 면접 기출 167문,"실제 기출 167문과 생기부 질문 규칙 53개. 열람 33,000원",https://hyunhak.com/guidebook/hufs.html,https://hyunhak.com/guidebook/hufs.html,
grp-a001-01-000000072767728,한국외대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 기출과 생기부 질문 규칙 53개,https://hyunhak.com/guidebook/hufs.html,https://hyunhak.com/guidebook/hufs.html,
grp-a001-01-000000072767753,인하대 면접 기출 148문,"실제 기출 148문과 생기부 질문 규칙 69개. 열람 33,000원",https://hyunhak.com/guidebook/inha.html,https://hyunhak.com/guidebook/inha.html,
grp-a001-01-000000072767753,인하대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 기출과 생기부 질문 규칙 69개,https://hyunhak.com/guidebook/inha.html,https://hyunhak.com/guidebook/inha.html,
grp-a001-01-000000072767758,경희대 면접 기출 172문,"실제 기출 172문과 생기부 질문 규칙 52개. 열람 33,000원",https://hyunhak.com/guidebook/khu.html,https://hyunhak.com/guidebook/khu.html,
grp-a001-01-000000072767758,경희대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 네오르네상스전형 면접 기출과 질문 규칙 52개,https://hyunhak.com/guidebook/khu.html,https://hyunhak.com/guidebook/khu.html,
grp-a001-01-000000072767763,건국대 면접 기출 120문,"실제 기출 120문과 생기부 질문 규칙 55개. 열람 33,000원",https://hyunhak.com/guidebook/konkuk.html,https://hyunhak.com/guidebook/konkuk.html,
grp-a001-01-000000072767763,건국대 면접 내 질문부터,"KU자기추천 면접 대비, 생기부 질문 규칙 55개. 13년차 대치동 컨설턴트 편집",https://hyunhak.com/guidebook/konkuk.html,https://hyunhak.com/guidebook/konkuk.html,
grp-a001-01-000000072767768,국민대 면접 기출 143문,"실제 기출 143문과 생기부 질문 규칙 60개. 열람 33,000원",https://hyunhak.com/guidebook/kookmin.html,https://hyunhak.com/guidebook/kookmin.html,
grp-a001-01-000000072767768,국민대 면접 내 질문부터,"국민프런티어 면접 대비, 생기부 질문 규칙 60개. 13년차 대치동 컨설턴트 편집",https://hyunhak.com/guidebook/kookmin.html,https://hyunhak.com/guidebook/kookmin.html,
grp-a001-01-000000072767772,고려대 제시문 면접 체험,2026 기출 48시간 열람과 모의면접 응시 1회 무료,https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,
grp-a001-01-000000072767772,고려대 제시문 실전 응시,준비 21분 발화 7분 규격 촬영 응시. 전사와 진단과 재구성 첨삭,https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,
grp-a001-01-000000072767776,광운대 면접 기출 148문,"실제 기출 148문과 생기부 질문 규칙 67개. 열람 33,000원",https://hyunhak.com/guidebook/kwangwoon.html,https://hyunhak.com/guidebook/kwangwoon.html,
grp-a001-01-000000072767776,광운대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 기출과 생기부 질문 규칙 67개,https://hyunhak.com/guidebook/kwangwoon.html,https://hyunhak.com/guidebook/kwangwoon.html,
grp-a001-01-000000072767785,경기대 면접 기출 130문,"실제 기출 130문과 생기부 질문 규칙 49개. 열람 33,000원",https://hyunhak.com/guidebook/kyonggi.html,https://hyunhak.com/guidebook/kyonggi.html,
grp-a001-01-000000072767785,경기대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 KGU학생부종합전형 면접 기출과 질문 규칙 49개,https://hyunhak.com/guidebook/kyonggi.html,https://hyunhak.com/guidebook/kyonggi.html,
grp-a001-01-000000072767862,명지대 면접 기출 161문,"실제 기출 161문과 생기부 질문 규칙 55개. 열람 33,000원",https://hyunhak.com/guidebook/myongji.html,https://hyunhak.com/guidebook/myongji.html,
grp-a001-01-000000072767862,명지대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 명지인재면접전형 면접 기출과 질문 규칙 55개,https://hyunhak.com/guidebook/myongji.html,https://hyunhak.com/guidebook/myongji.html,
grp-a001-01-000000072767885,부산대 면접 기출 139문,"실제 기출 139문과 생기부 질문 규칙 61개. 열람 33,000원",https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,
grp-a001-01-000000072767885,부산대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 학생부종합전형 면접 기출과 질문 규칙 61개,https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,
grp-a001-01-000000072767895,세종대 면접 기출 145문,"실제 기출 145문과 생기부 질문 규칙 51개. 열람 33,000원",https://hyunhak.com/guidebook/sejong.html,https://hyunhak.com/guidebook/sejong.html,
grp-a001-01-000000072767895,세종대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 기출과 생기부 질문 규칙 51개,https://hyunhak.com/guidebook/sejong.html,https://hyunhak.com/guidebook/sejong.html,
grp-a001-01-000000072767911,서울과기대 면접 기출 정리,"실제 기출 151문과 생기부 질문 규칙 45개. 열람 33,000원",https://hyunhak.com/guidebook/seoultech.html,https://hyunhak.com/guidebook/seoultech.html,
grp-a001-01-000000072767911,서울과기대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 학교생활우수자전형 면접 기출과 질문 규칙 45개,https://hyunhak.com/guidebook/seoultech.html,https://hyunhak.com/guidebook/seoultech.html,
grp-a001-01-000000072767915,서울대 면접 기출 134문,"실제 기출 134문과 생기부 질문 규칙 49개. 열람 33,000원",https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,
grp-a001-01-000000072767915,서울대 면접 내 질문부터,"지역균형전형 면접 대비, 생기부 질문 규칙 49개. 13년차 대치동 컨설턴트 편집",https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,
grp-a001-01-000000072767919,숙명여대 면접 기출 114문,"실제 기출 114문과 생기부 질문 규칙 45개. 열람 33,000원",https://hyunhak.com/guidebook/sookmyung.html,https://hyunhak.com/guidebook/sookmyung.html,
grp-a001-01-000000072767919,숙명여대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 숙명인재(면접형) 면접 기출과 질문 규칙 45개,https://hyunhak.com/guidebook/sookmyung.html,https://hyunhak.com/guidebook/sookmyung.html,
grp-a001-01-000000072767925,숭실대 면접 기출 165문,"실제 기출 165문과 생기부 질문 규칙 54개. 열람 33,000원",https://hyunhak.com/guidebook/soongsil.html,https://hyunhak.com/guidebook/soongsil.html,
grp-a001-01-000000072767925,숭실대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 기출과 생기부 질문 규칙 54개,https://hyunhak.com/guidebook/soongsil.html,https://hyunhak.com/guidebook/soongsil.html,
grp-a001-01-000000072767929,성신여대 면접 기출 135문,"실제 기출 135문과 생기부 질문 규칙 66개. 열람 33,000원",https://hyunhak.com/guidebook/sungshin.html,https://hyunhak.com/guidebook/sungshin.html,
grp-a001-01-000000072767929,성신여대 면접 내 질문부터,"자기주도인재 면접 대비, 생기부 질문 규칙 66개. 13년차 대치동 컨설턴트 편집",https://hyunhak.com/guidebook/sungshin.html,https://hyunhak.com/guidebook/sungshin.html,
grp-a001-01-000000072767984,서울시립대 면접 기출 정리,"실제 기출 151문과 생기부 질문 규칙 53개. 열람 33,000원",https://hyunhak.com/guidebook/uos.html,https://hyunhak.com/guidebook/uos.html,
grp-a001-01-000000072767984,서울시립대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 기출과 생기부 질문 규칙 53개,https://hyunhak.com/guidebook/uos.html,https://hyunhak.com/guidebook/uos.html,
grp-a001-01-000000072767993,연세대 제시문 면접 체험,2026 기출 48시간 열람과 모의면접 응시 1회 무료,https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,
grp-a001-01-000000072767993,연세대 제시문 실전 응시,준비 8분 답변 5분 규격 촬영 응시. 전사와 진단과 재구성 첨삭,https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,
grp-a001-01-000000072767592,단국대 면접 형태부터 판정,"DKU인재(면접형) 면접 형태와 전형별 제원, 생기부 질문 규칙 20개",https://hyunhak.com/guidebook/dankook.html,https://hyunhak.com/guidebook/dankook.html,
grp-a001-01-000000072767592,단국대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 DKU인재(면접형) 면접 기출과 질문 규칙 20개,https://hyunhak.com/guidebook/dankook.html,https://hyunhak.com/guidebook/dankook.html,
grp-a001-01-000000072767665,덕성여대 면접 형태부터 판정,"덕성인재전형Ⅱ 면접 형태와 전형별 제원, 생기부 질문 규칙 20개",https://hyunhak.com/guidebook/duksung.html,https://hyunhak.com/guidebook/duksung.html,
grp-a001-01-000000072767665,덕성여대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 덕성인재전형Ⅱ 면접 기출과 질문 규칙 20개,https://hyunhak.com/guidebook/duksung.html,https://hyunhak.com/guidebook/duksung.html,
grp-a001-01-000000072767605,동덕여대 면접 형태부터 판정,"동덕창의리더전형 면접 형태와 전형별 제원, 생기부 질문 규칙 20개",https://hyunhak.com/guidebook/dongduk.html,https://hyunhak.com/guidebook/dongduk.html,
grp-a001-01-000000072767605,동덕여대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 동덕창의리더전형 면접 기출과 질문 규칙 20개,https://hyunhak.com/guidebook/dongduk.html,https://hyunhak.com/guidebook/dongduk.html,
grp-a001-01-000000072767600,동아대 면접 기출 161문,"실제 기출 161문과 생기부 질문 규칙 48개. 열람 33,000원",https://hyunhak.com/guidebook/donga.html,https://hyunhak.com/guidebook/donga.html,
grp-a001-01-000000072767600,동아대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 잠재능력우수자 면접 기출과 질문 규칙 48개,https://hyunhak.com/guidebook/donga.html,https://hyunhak.com/guidebook/donga.html,
grp-a001-01-000000072767890,삼육대 면접 형태부터 판정,"세움인재 면접 형태와 전형별 제원, 생기부 질문 규칙 18개",https://hyunhak.com/guidebook/sahmyook.html,https://hyunhak.com/guidebook/sahmyook.html,
grp-a001-01-000000072767890,삼육대 면접 내 질문부터,"세움인재 면접, 생기부에서 뽑는 질문 규칙 18개. 13년차 대치동 컨설턴트 편집",https://hyunhak.com/guidebook/sahmyook.html,https://hyunhak.com/guidebook/sahmyook.html,
grp-a001-01-000000072767934,서울여대 면접 형태부터 판정,"바롬인재면접전형 면접 형태와 전형별 제원, 생기부 질문 규칙 20개",https://hyunhak.com/guidebook/swu.html,https://hyunhak.com/guidebook/swu.html,
grp-a001-01-000000072767934,서울여대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 바롬인재면접전형 면접 기출과 질문 규칙 20개,https://hyunhak.com/guidebook/swu.html,https://hyunhak.com/guidebook/swu.html,
grp-a001-01-000000072767964,울산대 면접 기출 165문,"실제 기출 165문과 생기부 질문 규칙 48개. 열람 33,000원",https://hyunhak.com/guidebook/ulsan.html,https://hyunhak.com/guidebook/ulsan.html,
grp-a001-01-000000072767964,울산대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 학생부종합(면접형) 면접 기출과 질문 규칙 48개,https://hyunhak.com/guidebook/ulsan.html,https://hyunhak.com/guidebook/ulsan.html,
grp-a001-01-000000072767747,인천대 면접 기출 154문,"실제 기출 154문과 생기부 질문 규칙 44개. 열람 33,000원",https://hyunhak.com/guidebook/incheon.html,https://hyunhak.com/guidebook/incheon.html,
grp-a001-01-000000072767747,인천대 면접 내 질문부터,"자기추천전형 면접 대비, 생기부 질문 규칙 44개. 13년차 대치동 컨설턴트 편집",https://hyunhak.com/guidebook/incheon.html,https://hyunhak.com/guidebook/incheon.html,
grp-a001-01-000000072767724,한양대ERICA 면접 판정,"학생부종합(면접형) 면접 형태와 전형별 제원, 생기부 질문 규칙 20개",https://hyunhak.com/guidebook/hanyang-erica.html,https://hyunhak.com/guidebook/hanyang-erica.html,
grp-a001-01-000000072767724,한양대ERICA 면접 준비,13년차 대치동 컨설턴트가 뽑은 학생부종합(면접형) 면접 기출과 질문 규칙 20개,https://hyunhak.com/guidebook/hanyang-erica.html,https://hyunhak.com/guidebook/hanyang-erica.html,
