"광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있으며, 입력은 최대 만(10000)개까지 가능합니다.",,,,,
"광고그룹 1개당 등록 가능한 소재는 총 5개 까지 입니다. 이미 광고그룹에 소재가 등록되어 있는 경우, 입력하신 새 소재 일부가 등록되지 않을 수 있습니다. 예시) 소재를 추가 하려는 광고그룹에 1개의 소재가 등록된 상태에서, 소재 추가를 5개 입력한 경우 입력한 순서대로 맨 위의 4개 소재만 등록되고 마지막줄 소재 등록은 실패 처리 됩니다.",,,,,
"소재의 연결 URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고, PC/모바일 연결 URL을 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.",,,,,
의료 광고 대상 광고주께서는 심의필번호를 등록하기 전에 ‘의료광고 심의필증’을 서류관리 메뉴를 통해 제출해야 검토가 진행됩니다.,,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,,
광고그룹ID(필수),제목(필수),설명(필수),PC URL(필수),모바일 URL(필수),의료광고 심의필 번호(의료광고인 경우에만 입력하세요. 6~12자)
grp-a001-01-000000072767705,가천대 면접 가이드북,"가천대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,
grp-a001-01-000000072767705,가천대 가천바람개비 면접,"13년차 대치동 컨설턴트가 정리한 가천대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,
grp-a001-01-000000072767728,한국외대 면접 가이드북,"한국외대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/hufs.html,https://hyunhak.com/guidebook/hufs.html,
grp-a001-01-000000072767728,한국외대 면접 기출,"13년차 대치동 컨설턴트가 정리한 한국외대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/hufs.html,https://hyunhak.com/guidebook/hufs.html,
grp-a001-01-000000072767753,인하대 면접 가이드북,"인하대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/inha.html,https://hyunhak.com/guidebook/inha.html,
grp-a001-01-000000072767753,인하대 면접 기출,"13년차 대치동 컨설턴트가 정리한 인하대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/inha.html,https://hyunhak.com/guidebook/inha.html,
grp-a001-01-000000072767758,경희대 면접 가이드북,"경희대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/khu.html,https://hyunhak.com/guidebook/khu.html,
grp-a001-01-000000072767758,경희대 네오르네상스 면접,"13년차 대치동 컨설턴트가 정리한 경희대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/khu.html,https://hyunhak.com/guidebook/khu.html,
grp-a001-01-000000072767763,건국대 면접 가이드북,"건국대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/konkuk.html,https://hyunhak.com/guidebook/konkuk.html,
grp-a001-01-000000072767763,건국대 KU자기추천 면접,"13년차 대치동 컨설턴트가 정리한 건국대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/konkuk.html,https://hyunhak.com/guidebook/konkuk.html,
grp-a001-01-000000072767768,국민대 면접 가이드북,"국민대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/kookmin.html,https://hyunhak.com/guidebook/kookmin.html,
grp-a001-01-000000072767768,국민대 국민프런티어 면접,"13년차 대치동 컨설턴트가 정리한 국민대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/kookmin.html,https://hyunhak.com/guidebook/kookmin.html,
grp-a001-01-000000072767772,고려대 제시문 면접 스튜디오,"고려대 제시문 면접 기출 세트로 촬영 응시와 세 단 첨삭, 지문 30편",https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,
grp-a001-01-000000072767772,고려대 계열적합 면접,"실전 규격 응시와 첨삭, 고려대 면접 스튜디오, 13년차 컨설턴트 설계",https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,
grp-a001-01-000000072767776,광운대 면접 가이드북,"광운대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/kwangwoon.html,https://hyunhak.com/guidebook/kwangwoon.html,
grp-a001-01-000000072767776,광운대 면접 기출,"13년차 대치동 컨설턴트가 정리한 광운대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/kwangwoon.html,https://hyunhak.com/guidebook/kwangwoon.html,
grp-a001-01-000000072767785,경기대 면접 가이드북,"경기대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/kyonggi.html,https://hyunhak.com/guidebook/kyonggi.html,
grp-a001-01-000000072767785,경기대 KGU학생부종합 면접,"13년차 대치동 컨설턴트가 정리한 경기대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/kyonggi.html,https://hyunhak.com/guidebook/kyonggi.html,
grp-a001-01-000000072767862,명지대 면접 가이드북,"명지대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/myongji.html,https://hyunhak.com/guidebook/myongji.html,
grp-a001-01-000000072767862,명지대 명지인재면접 면접,"13년차 대치동 컨설턴트가 정리한 명지대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/myongji.html,https://hyunhak.com/guidebook/myongji.html,
grp-a001-01-000000072767885,부산대 면접 가이드북,"부산대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,
grp-a001-01-000000072767885,부산대 학생부종합 면접,"13년차 대치동 컨설턴트가 정리한 부산대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,
grp-a001-01-000000072767895,세종대 면접 가이드북,"세종대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/sejong.html,https://hyunhak.com/guidebook/sejong.html,
grp-a001-01-000000072767895,세종대 면접 기출,"13년차 대치동 컨설턴트가 정리한 세종대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/sejong.html,https://hyunhak.com/guidebook/sejong.html,
grp-a001-01-000000072767911,서울과기대 면접 가이드북,"서울과기대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/seoultech.html,https://hyunhak.com/guidebook/seoultech.html,
grp-a001-01-000000072767911,서울과기대 면접 기출,"13년차 대치동 컨설턴트 정리, 서울과기대 면접 기출과 전략, 33,000원",https://hyunhak.com/guidebook/seoultech.html,https://hyunhak.com/guidebook/seoultech.html,
grp-a001-01-000000072767915,서울대 면접 가이드북,"서울대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,
grp-a001-01-000000072767915,서울대 지역균형 면접,"13년차 대치동 컨설턴트가 정리한 서울대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,
grp-a001-01-000000072767919,숙명여대 면접 가이드북,"숙명여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/sookmyung.html,https://hyunhak.com/guidebook/sookmyung.html,
grp-a001-01-000000072767919,숙명여대 면접 기출,"13년차 대치동 컨설턴트가 정리한 숙명여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/sookmyung.html,https://hyunhak.com/guidebook/sookmyung.html,
grp-a001-01-000000072767925,숭실대 면접 가이드북,"숭실대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/soongsil.html,https://hyunhak.com/guidebook/soongsil.html,
grp-a001-01-000000072767925,숭실대 면접 기출,"13년차 대치동 컨설턴트가 정리한 숭실대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/soongsil.html,https://hyunhak.com/guidebook/soongsil.html,
grp-a001-01-000000072767929,성신여대 면접 가이드북,"성신여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/sungshin.html,https://hyunhak.com/guidebook/sungshin.html,
grp-a001-01-000000072767929,성신여대 자기주도인재 면접,"13년차 대치동 컨설턴트가 정리한 성신여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/sungshin.html,https://hyunhak.com/guidebook/sungshin.html,
grp-a001-01-000000072767984,서울시립대 면접 가이드북,"서울시립대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/uos.html,https://hyunhak.com/guidebook/uos.html,
grp-a001-01-000000072767984,서울시립대 면접 기출,"13년차 대치동 컨설턴트 정리, 서울시립대 면접 기출과 전략, 33,000원",https://hyunhak.com/guidebook/uos.html,https://hyunhak.com/guidebook/uos.html,
grp-a001-01-000000072767993,연세대 제시문 면접 스튜디오,"연세대 제시문 면접 기출 세트로 촬영 응시와 세 단 첨삭, 지문 30편",https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,
grp-a001-01-000000072767993,연세대 활동우수형 면접,"실전 규격 응시와 첨삭, 연세대 면접 스튜디오, 13년차 컨설턴트 설계",https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,
grp-a001-01-000000072767592,단국대 면접 가이드북,"단국대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/dankook.html,https://hyunhak.com/guidebook/dankook.html,
grp-a001-01-000000072767592,단국대 면접 기출,"13년차 대치동 컨설턴트가 정리한 단국대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/dankook.html,https://hyunhak.com/guidebook/dankook.html,
grp-a001-01-000000072767665,덕성여대 면접 가이드북,"덕성여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/duksung.html,https://hyunhak.com/guidebook/duksung.html,
grp-a001-01-000000072767665,덕성여대 덕성인재전형Ⅱ 면접,"13년차 대치동 컨설턴트가 정리한 덕성여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/duksung.html,https://hyunhak.com/guidebook/duksung.html,
grp-a001-01-000000072767605,동덕여대 면접 가이드북,"동덕여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/dongduk.html,https://hyunhak.com/guidebook/dongduk.html,
grp-a001-01-000000072767605,동덕여대 동덕창의리더 면접,"13년차 대치동 컨설턴트가 정리한 동덕여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/dongduk.html,https://hyunhak.com/guidebook/dongduk.html,
grp-a001-01-000000072767600,동아대 면접 가이드북,"동아대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/donga.html,https://hyunhak.com/guidebook/donga.html,
grp-a001-01-000000072767600,동아대 잠재능력우수자 면접,"13년차 대치동 컨설턴트가 정리한 동아대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/donga.html,https://hyunhak.com/guidebook/donga.html,
grp-a001-01-000000072767890,삼육대 면접 가이드북,"삼육대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/sahmyook.html,https://hyunhak.com/guidebook/sahmyook.html,
grp-a001-01-000000072767890,삼육대 세움인재 면접,"13년차 대치동 컨설턴트가 정리한 삼육대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/sahmyook.html,https://hyunhak.com/guidebook/sahmyook.html,
grp-a001-01-000000072767934,서울여대 면접 가이드북,"서울여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/swu.html,https://hyunhak.com/guidebook/swu.html,
grp-a001-01-000000072767934,서울여대 바롬인재면접 면접,"13년차 대치동 컨설턴트가 정리한 서울여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/swu.html,https://hyunhak.com/guidebook/swu.html,
grp-a001-01-000000072767964,울산대 면접 가이드북,"울산대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/ulsan.html,https://hyunhak.com/guidebook/ulsan.html,
grp-a001-01-000000072767964,울산대 면접 기출,"13년차 대치동 컨설턴트가 정리한 울산대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/ulsan.html,https://hyunhak.com/guidebook/ulsan.html,
grp-a001-01-000000072767747,인천대 면접 가이드북,"인천대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/incheon.html,https://hyunhak.com/guidebook/incheon.html,
grp-a001-01-000000072767747,인천대 자기추천 면접,"13년차 대치동 컨설턴트가 정리한 인천대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/incheon.html,https://hyunhak.com/guidebook/incheon.html,
grp-a001-01-000000072767724,한양대 ERICA 면접 가이,"한양대 ERICA 면접 실제 기출과 생기부 질문 규칙, 열람 33,000원",https://hyunhak.com/guidebook/hanyang-erica.html,https://hyunhak.com/guidebook/hanyang-erica.html,
grp-a001-01-000000072767724,한양대 ERICA 면접 기출,"13년차 대치동 컨설턴트 정리, 한양대 ERICA 면접 기출과 전략, 33,000",https://hyunhak.com/guidebook/hanyang-erica.html,https://hyunhak.com/guidebook/hanyang-erica.html,
grp-a001-01-000000072767542,대학별 면접 가이드북,"31개 대학 면접 실제 기출 3,065문과 생기부 질문 규칙, 권당 33,000원",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767542,"대입 면접, 대학별 한 권","내 지원 대학 면접만 골라 준비. 기출과 전형별 제원, 13년차 컨설턴트 정리",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767553,대학 면접 기출 질문 모음,"선배 후기에서 회수한 실제 면접 질문, 대학별 한 권 33,000원",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767553,"면접 예상질문, 생기부에서","생기부 기재를 질문으로 바꾸는 규칙, 대학별 가이드북 2027",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767554,면접학원 대신 한 권,"13년차 대치동 입시 컨설턴트의 면접 노하우, 대학별 한 권 33,000원",https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,
grp-a001-01-000000072767554,대입 면접 컨설팅 자료,수업 없이 혼자 준비하는 대학별 면접 가이드북과 연고대 면접 스튜디오,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,
grp-a001-01-000000072767557,학종 서류기반 면접 준비,"생기부를 질문으로 바꾸는 규칙과 대학별 실제 기출, 한 권 33,000원",https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,
grp-a001-01-000000072767557,제시문 면접 스튜디오,"연세대 고려대 제시문 면접 기출 세트로 촬영 응시와 첨삭, 실전 규격",https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,
grp-a001-01-000000072767558,의대 면접 가이드북 2027,"의예과 면접 기출과 MMI 형태 판정, 대학별 가이드북 33,000원",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767558,의대 MMI 면접 준비,"대학별 의예과 면접 제원과 실제 질문, 13년차 대치동 컨설턴트 정리",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
